yaw,pitch,roll
0.02,-0.28,-0.36
0.03,-0.28,-0.36
0.03,-0.28,-0.36
0.02,-0.28,-0.36
0.03,-0.28,-0.36
0.03,-0.29,-0.36
0.03,-0.29,-0.36
0.03,-0.29,-0.36
0.02,-0.28,-0.36
0.02,-0.29,-0.36
0.03,-0.29,-0.36
-0.03,-0.21,-0.29
0.14,-0.25,-0.34
0.09,-0.46,-0.32
-0.05,-0.38,-0.37
0.03,-0.4,-0.34
0.14,-0.53,-0.36
-0.06,-0.35,-0.32
-0.06,-0.54,-0.32
-0.04,-0.52,-0.38
-0.08,-0.54,-0.36
-0.04,-0.54,-0.35
0.02,-0.54,-0.36
0.15,-0.55,-0.38
-0.01,-0.39,-0.25
0.14,-0.44,-0.36
0.03,-0.72,-0.33
0.12,-0.58,-0.34
0.16,-0.63,-0.36
0.1,-0.59,-0.37
0.16,-0.42,-0.48
0.14,-0.56,-0.4
0.45,-0.48,-0.43
-0.1,-0.48,-0.36
-0.03,-0.45,-0.37
0.01,-0.44,-0.41
0.03,-0.41,-0.44
0.14,-0.19,-0.35
0.04,-0.28,-0.35
-0.0,-0.35,-0.34
0.04,-0.14,-0.35
0.23,-0.31,-0.38
0.09,-0.2,-0.37
-0.03,-0.28,-0.38
-0.1,-0.32,-0.33
-0.12,-0.33,-0.4
-0.2,-0.34,-0.38
-0.17,-0.32,-0.37
0.4,-0.32,-0.31
13.2,-0.3,-0.32
26.38,-0.32,-0.48
40.4,-0.33,-0.53
54.84,-0.35,-0.59
69.46,-0.41,-0.64
83.13,-0.36,-0.69
88.87,-0.32,-0.7
89.79,-0.32,-0.68
90.16,-0.23,-0.6
89.63,-0.47,-0.73
88.85,-0.41,-0.77
89.32,-0.27,-0.73
89.2,-0.44,-0.7
89.26,-0.35,-0.74
89.6,-0.4,-0.74
89.37,-0.38,-0.7
89.63,-0.31,-0.69
89.58,-0.4,-0.66
89.67,-0.36,-0.66
89.87,-0.38,-0.71
89.53,-0.38,-0.7
89.39,-0.38,-0.68
89.4,-0.33,-0.68
89.77,-0.2,-0.61
89.43,-0.49,-0.64
89.25,-0.37,-0.68
89.31,-0.29,-0.67
89.13,-0.45,-0.64
89.12,-0.34,-0.74
89.59,-0.4,-0.72
89.79,-0.4,-0.71
89.71,-0.36,-0.75
89.38,-0.41,-0.78
89.45,-0.36,-0.77
89.41,-0.36,-0.74
89.42,-0.27,-0.78
89.4,-0.37,-0.66
89.66,-0.48,-0.64
89.48,-0.34,-0.63
89.27,-0.48,-0.62
89.25,-0.45,-0.68
89.32,-0.4,-0.61
89.22,-0.52,-0.57
89.25,-0.46,-0.58
89.46,-0.49,-0.58
89.55,-0.48,-0.59
89.47,-0.47,-0.6
94.75,-0.45,-0.48
107.98,-0.41,-0.63
121.61,-0.37,-0.87
135.82,-0.29,-0.94
150.29,-0.24,-0.92
165.0,-0.18,-0.86
175.24,-0.12,-0.82
179.77,-0.09,-0.75
179.24,-0.12,-0.63
179.42,0.0,-0.74
179.36,-0.26,-0.77
179.42,-0.23,-0.88
179.32,-0.1,-0.86
179.26,-0.33,-0.84
179.3,-0.28,-0.91
179.49,-0.35,-0.95
179.46,-0.24,-0.96
179.54,-0.22,-0.87
179.65,-0.23,-0.85
179.36,-0.18,-0.88
179.33,-0.21,-0.92
179.29,-0.2,-0.88
179.33,-0.17,-0.89
179.44,-0.06,-0.87
179.49,0.09,-0.78
178.97,-0.13,-0.75
178.91,0.02,-0.77
179.44,0.1,-0.8
179.53,0.02,-0.79
179.47,0.16,-0.82
179.48,-0.01,-0.81
179.34,0.04,-0.88
179.22,0.02,-0.9
179.2,0.04,-0.89
179.31,0.06,-0.89
179.43,0.06,-0.88
179.44,0.2,-0.87
179.49,0.07,-0.85
179.06,-0.13,-0.83
179.29,0.03,-0.86
179.49,-0.08,-0.81
179.25,-0.06,-0.85
179.6,-0.02,-0.8
179.54,-0.11,-0.74
179.66,-0.05,-0.75
179.56,-0.08,-0.72
179.44,-0.07,-0.73
179.41,-0.1,-0.73
-176.76,-0.04,-0.65
-163.38,-0.01,-0.68
-149.92,0.05,-0.76
-135.72,0.11,-0.73
-121.25,0.12,-0.61
-106.55,0.1,-0.52
-95.29,0.1,-0.47
-90.54,0.1,-0.42
-90.55,0.14,-0.34
-90.38,0.14,-0.49
-90.63,-0.07,-0.5
-90.78,0.09,-0.59
-90.72,0.08,-0.5
-90.68,-0.07,-0.47
-90.83,0.16,-0.53
-90.76,-0.04,-0.45
-90.78,0.01,-0.5
-90.47,0.04,-0.5
-90.59,-0.04,-0.51
-90.59,0.06,-0.51
-90.54,0.08,-0.49
-90.55,0.1,-0.49
-90.55,0.09,-0.51
-90.55,0.09,-0.51
-90.64,0.15,-0.48
-90.28,0.29,-0.41
-90.6,0.1,-0.45
-90.71,0.11,-0.41
-90.61,0.18,-0.49
-90.54,0.17,-0.51
-90.66,0.25,-0.53
-90.51,0.14,-0.48
-90.99,0.25,-0.56
-90.46,0.21,-0.58
-90.39,0.19,-0.57
-90.38,0.19,-0.57
-90.38,0.19,-0.57
-90.38,0.2,-0.58
-90.35,0.22,-0.57
-89.97,0.39,-0.49
-90.19,0.14,-0.51
-90.42,0.06,-0.51
-90.6,0.25,-0.49
-90.5,0.07,-0.5
-90.25,0.15,-0.55
-90.47,0.14,-0.5
-90.49,0.12,-0.49
-90.43,0.19,-0.51
-90.36,0.13,-0.49
-90.66,0.12,-0.45
-90.37,0.12,-0.44
-90.33,0.11,-0.43
-90.32,0.11,-0.43
-82.44,0.15,-0.34
-69.34,0.09,-0.4
