X,Y
0.0,0.0
0.0,0.0
-0.0,2e-05
0.0,2e-05
-0.0,3e-05
-1e-05,4e-05
-2e-05,6e-05
-1e-05,7e-05
-1e-05,8e-05
-2e-05,8e-05
-2e-05,6e-05
-3e-05,5e-05
-2e-05,6e-05
-2e-05,5e-05
-2e-05,2e-05
-1e-05,-0.0
-1e-05,1e-05
-2e-05,1e-05
-2e-05,0.0
-2e-05,0.0
-2e-05,2e-05
-2e-05,3e-05
-2e-05,3e-05
-3e-05,5e-05
-4e-05,5e-05
-3e-05,3e-05
-3e-05,3e-05
-3e-05,4e-05
-3e-05,5e-05
-4e-05,4e-05
-4e-05,5e-05
-5e-05,7e-05
-5e-05,7e-05
-5e-05,9e-05
-5e-05,8e-05
-5e-05,9e-05
-5e-05,9e-05
-5e-05,8e-05
-4e-05,8e-05
-3e-05,6e-05
-3e-05,6e-05
-3e-05,6e-05
-4e-05,7e-05
-5e-05,6e-05
-5e-05,5e-05
-4e-05,5e-05
-5e-05,5e-05
-5e-05,1e-05
-5e-05,2e-05
-4e-05,4e-05
-3e-05,6e-05
-3e-05,3e-05
-2e-05,4e-05
-3e-05,3e-05
-3e-05,2e-05
2e-05,0.0003
0.00012,0.00098
0.00016,0.00236
0.00025,0.00449
0.00026,0.00752
0.00056,0.01124
0.0005,0.01567
0.00077,0.02074
0.00092,0.0263
0.00085,0.03209
0.00054,0.03799
0.00072,0.04376
0.00071,0.04914
0.00064,0.054
0.00024,0.06201
0.00024,0.06201
0.00027,0.06516
0.00028,0.07
0.00025,0.07178
0.00025,0.07319
0.00037,0.07463
0.00059,0.0761
0.00074,0.07764
0.00074,0.07929
0.00068,0.08124
0.00058,0.0835
0.00053,0.08613
0.00046,0.08903
0.00028,0.09214
0.00012,0.09569
8e-05,0.09968
-0.0002,0.10391
-0.00045,0.10829
-0.00059,0.11271
-0.00067,0.11712
-0.00062,0.12149
-0.00078,0.12562
-0.0011,0.12944
-0.0013,0.13304
-0.00152,0.13635
-0.00167,0.13927
-0.00166,0.14192
-0.00167,0.14439
-0.00172,0.14674
-0.00186,0.14897
-0.00198,0.15116
-0.00203,0.15336
-0.00205,0.15825
-0.00221,0.1608
-0.00232,0.16365
-0.00231,0.16663
-0.00235,0.16975
-0.0025,0.17316
-0.00258,0.17681
-0.00259,0.18049
-0.00271,0.1841
-0.00286,0.1878
-0.00307,0.19156
-0.00325,0.19528
