,index,center_x,e_x,e_y,u_x,u_y,x
0,0,640.0,440.0,263.0,3581.5,1601.832,200
1,1,640.0,597.0,127.0,4110.971,1376.879,43
2,2,640.0,477.0,202.0,3735.718,1664.614,163
3,3,640.0,319.0,186.0,3523.615,1508.44,321
4,4,640.0,473.0,-290.0,4116.305,816.755,167
5,5,640.0,89.0,-81.0,2775.94,1937.68,551
6,6,640.0,375.0,-67.0,4350.387,1417.501,265
7,7,640.0,216.0,-2.0,3446.393,1597.418,424
8,8,640.0,125.0,140.0,3653.808,1760.066,515
9,9,640.0,100.0,277.0,3669.944,2327.195,540
10,10,640.0,198.0,263.0,4132.807,1532.296,442
11,11,640.0,-565.0,-287.0,3162.787,1108.76,1205
12,12,640.0,-545.0,-301.0,3304.836,1169.156,1185
13,13,640.0,-527.0,-304.0,3298.229,1167.555,1167
