yaw,pitch,roll
0.02,0.28,0.36
0.03,0.28,0.36
0.03,0.28,0.36
0.02,0.28,0.36
0.03,0.28,0.36
0.03,0.29,0.36
0.03,0.29,0.36
0.03,0.29,0.36
0.02,0.28,0.36
0.02,0.29,0.36
0.03,0.29,0.36
0.03,0.21,0.29
0.14,0.25,0.34
0.09,0.46,0.32
0.05,0.38,0.37
0.03,0.4,0.34
0.14,0.53,0.36
0.06,0.35,0.32
0.06,0.54,0.32
0.04,0.52,0.38
0.08,0.54,0.36
0.04,0.54,0.35
0.02,0.54,0.36
0.15,0.55,0.38
0.01,0.39,0.25
0.14,0.44,0.36
0.03,0.72,0.33
0.12,0.58,0.34
0.16,0.63,0.36
0.1,5.9,0.37
0.16,0.42,0.48
0.14,0.56,0.04
0.45,0.48,0.43
0.1,4.8,0.36
0.03,0.45,0.37
0.01,0.44,0.41
0.03,0.41,0.44
0.14,0.19,0.35
0.04,0.28,0.35
0.0,3.5,0.34
0.04,0.14,0.35
0.23,0.31,0.38
0.09,0.2,0.37
0.03,0.28,0.38
0.1,3.2,0.33
0.12,0.33,0.04
0.2,3.4,0.38
0.17,0.32,0.37
0.4,3.2,0.31
1.32,0.3,0.32
2.63,8.03,2.04
4.04,0.33,0.53
5.48,4.03,5.05
6.94,6.04,1.06
8.31,3.03,6.06
8.88,7.03,2.07
8.97,9.03,2.06
9.01,6.02,3.06
8.96,3.04,7.07
8.88,5.04,1.07
8.93,2.02,7.07
8.92,0.44,0.07
8.92,6.03,5.07
8.96,0.4,0.74
8.93,7.03,8.07
8.96,3.03,1.06
8.95,8.04,0.66
8.96,7.03,6.06
8.98,7.03,8.07
8.95,3.03,8.07
8.93,9.03,8.06
8.94,0.33,0.68
8.97,7.02,0.61
8.94,3.04,9.06
8.92,5.03,7.06
8.93,1.02,9.06
8.91,3.04,5.06
8.91,2.03,4.07
8.95,9.04,0.72
8.97,9.04,0.71
8.97,1.03,6.07
8.93,8.04,1.07
8.94,5.03,6.07
8.94,1.03,6.07
8.94,2.02,7.07
8.94,0.37,0.66
8.96,6.04,8.06
8.94,8.03,4.06
8.92,7.04,8.06
8.92,5.04,5.06
8.93,2.04,0.61
8.92,2.05,2.05
8.92,5.04,6.05
8.94,6.04,9.05
8.95,5.04,8.05
8.94,7.04,7.06
9.47,5.04,5.04
1.07,9.8,4.1
1.21,6.1,3.7
1.35,8.2,2.9
1.5,2.9,2.4
1.65,0.01,8.08
1.75,2.4,1.2
1.79,7.7,0.9
1.79,2.4,1.2
1.79,4.2,0.07
1.79,3.6,2.6
1.79,4.2,2.3
1.79,3.2,1.08
1.79,2.6,3.3
1.79,3.02,8.09
1.79,4.9,3.5
1.79,4.6,2.4
1.79,5.4,2.2
1.79,6.5,2.3
1.79,3.6,1.8
1.79,3.3,2.1
1.79,2.9,2.08
1.79,3.3,1.7
1.79,4.4,0.6
1.79,4.9,0.9
1.78,9.7,1.3
1.78,9.1,0.2
1.79,4.4,1.08
1.79,5.3,0.2
1.79,4.7,1.6
1.79,4.8,0.1
1.79,3.4,0.4
1.79,2.2,0.2
1.79,2.0,4.08
1.79,3.1,0.6
1.79,4.3,0.6
1.79,4.4,2.08
1.79,4.9,0.7
1.79,0.6,1.3
1.79,2.9,0.3
1.79,4.9,0.8
1.79,2.5,0.6
1.79,6.0,2.08
1.79,5.4,1.1
1.79,6.6,0.5
1.79,5.6,0.8
1.79,4.4,0.7
1.79,4.1,1.07
1.76,7.6,0.4
1.63,3.8,0.1
1.49,9.2,0.5
1.35,7.2,1.1
1.21,2.5,1.2
1.06,5.5,1.05
9.52,9.01,0.47
9.05,4.01,0.42
9.05,5.01,4.03
9.03,8.01,4.04
9.06,3.0,7.05
9.07,8.0,9.05
9.07,2.0,8.05
9.06,8.0,7.04
9.08,3.01,6.05
9.07,6.0,4.04
9.07,8.0,1.05
9.04,7.0,4.05
9.05,9.0,4.05
9.05,9.0,6.05
9.05,4.0,8.04
9.05,5.01,0.49
9.05,5.0,9.05
9.05,5.0,9.05
9.06,4.01,5.04
9.02,8.02,9.04
9.06,0.1,0.45
9.07,1.01,1.04
9.06,1.01,8.04
9.05,4.01,7.05
9.06,6.02,5.05
9.05,1.01,4.04
9.09,9.02,5.05
9.04,6.02,1.05
9.03,9.01,9.05
9.03,8.01,9.05
9.03,8.01,9.05
9.03,8.02,0.58
9.03,5.02,2.05
8.99,7.03,9.04
9.01,9.01,4.05
9.04,2.0,6.05
9.06,0.25,0.49
9.05,0.07,0.05
9.02,5.01,5.05
9.04,7.01,4.05
9.04,9.01,2.04
9.04,3.01,9.05
9.03,6.01,3.04
9.06,6.01,2.04
9.03,7.01,2.04
9.03,3.01,1.04
9.03,2.01,1.04
8.24,4.01,5.03
6.93,4.0,9.04
5.55,0.1,0.49
4.11,8.0,4.04
2.66,1.0,5.03
1.18,7.01,2.02
3.48,0.23,0.25
0.73,0.19,0.24
1.22,0.2,0.24
1.11,0.21,0.24
1.1,2.1,0.25
1.11,0.22,0.25
1.11,0.22,0.24
1.11,0.23,0.24
1.11,0.22,0.24
1.09,0.22,0.23
1.08,0.21,0.24
1.06,0.21,0.24
1.05,0.2,0.24
1.06,0.21,0.24
1.06,0.21,0.24
1.05,0.21,0.24
1.05,0.21,0.24
1.06,0.21,0.24
1.06,0.21,0.24
1.05,0.21,0.24
1.05,0.21,0.24
1.06,0.21,0.24
1.05,0.21,0.24
1.06,0.21,0.24
1.05,0.21,0.24
1.05,0.21,0.24
1.05,0.21,0.24
1.05,0.21,0.24
1.05,0.21,0.24
