speed,angle,timestamp,state
"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
"[-1.0, -2.0, -9.0, 4.0]","[832.0, 2584.0, 3092.0, 31790.0]","[30570.0, 30571.0, 30573.0, 30574.0]","[0.0, 0.0, 0.0, 0.0]"
"[2.0, -3.0, -4.0, -2.0]","[832.0, 2583.0, 3090.0, 31791.0]","[30630.0, 30631.0, 30633.0, 30634.0]","[0.0, 0.0, 0.0, 0.0]"
"[2.0, -5.0, -1.0, -6.0]","[834.0, 2579.0, 3087.0, 31794.0]","[30690.0, 30691.0, 30693.0, 30694.0]","[0.0, 0.0, 0.0, 0.0]"
"[-6.0, -7.0, 0.0, 0.0]","[830.0, 2584.0, 3091.0, 31788.0]","[30750.0, 30751.0, 30753.0, 30754.0]","[0.0, 0.0, 0.0, 0.0]"
"[-1.0, 1.0, 0.0, -4.0]","[827.0, 2587.0, 3095.0, 31786.0]","[30810.0, 30811.0, 30813.0, 30814.0]","[0.0, 0.0, 0.0, 0.0]"
"[3.0, -3.0, 3.0, -1.0]","[833.0, 2581.0, 3089.0, 31792.0]","[30870.0, 30871.0, 30873.0, 30874.0]","[0.0, 0.0, 0.0, 0.0]"
"[1.0, -3.0, 1.0, 1.0]","[831.0, 2584.0, 3091.0, 31790.0]","[30930.0, 30931.0, 30933.0, 30934.0]","[0.0, 0.0, 0.0, 0.0]"
"[9.0, -2.0, 4.0, 1.0]","[826.0, 2588.0, 3095.0, 31784.0]","[30990.0, 30991.0, 30993.0, 30994.0]","[0.0, 0.0, 0.0, 0.0]"
"[0.0, 3.0, 1.0, -2.0]","[828.0, 2586.0, 3093.0, 31787.0]","[31050.0, 31051.0, 31053.0, 31054.0]","[0.0, 0.0, 0.0, 0.0]"
"[-2.0, 1.0, 2.0, -3.0]","[829.0, 2584.0, 3092.0, 31787.0]","[31110.0, 31111.0, 31113.0, 31114.0]","[0.0, 0.0, 0.0, 0.0]"
