x,y,z
0.00,0.00,0.0
0.01,-0.00,0.0
0.04,-0.00,0.0
0.05,-0.00,0.0
0.08,-0.00,0.0
0.10,-0.00,0.0
0.12,-0.00,0.0
0.15,-0.00,0.0
0.17,-0.01,0.0
0.19,-0.01,0.0
0.22,-0.01,0.0
0.24,-0.01,0.0
0.27,-0.01,0.0
0.29,-0.01,0.0
0.31,-0.01,0.0
0.34,-0.01,0.0
0.36,-0.01,0.0
0.39,-0.02,0.0
0.42,-0.02,0.0
0.44,-0.02,0.0
0.48,-0.02,0.0
0.51,-0.02,0.0
0.53,-0.02,0.0
0.56,-0.02,0.0
0.59,-0.02,0.0
0.62,-0.03,0.0
0.64,-0.03,0.0
0.67,-0.03,0.0
0.70,-0.03,0.0
0.72,-0.03,0.0
0.75,-0.03,0.0
0.78,-0.03,0.0
0.80,-0.03,0.0
0.83,-0.03,0.0
0.86,-0.03,0.0
0.89,-0.03,0.0
0.91,-0.03,0.0
0.94,-0.03,0.0
0.97,-0.03,0.0
1.00,-0.03,0.0
1.02,-0.03,0.0
1.05,-0.03,0.0
1.08,-0.03,0.0
1.10,-0.03,0.0
1.13,-0.03,0.0
1.15,-0.03,0.0
1.17,-0.03,0.0
1.16,-0.03,0.0
1.15,-0.03,0.0
1.14,-0.03,0.0
1.15,-0.03,0.0
1.16,-0.03,0.0
1.16,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.15,-0.03,0.0
1.17,-0.00,0.0
1.18,0.02,0.0
1.19,0.03,0.0
1.20,0.05,0.0
1.20,0.07,0.0
1.21,0.09,0.0
1.22,0.11,0.0
1.22,0.13,0.0
1.23,0.16,0.0
1.23,0.18,0.0
1.24,0.20,0.0
1.25,0.23,0.0
1.25,0.25,0.0
1.26,0.28,0.0
1.26,0.31,0.0
1.27,0.33,0.0
1.28,0.36,0.0
1.29,0.39,0.0
1.29,0.41,0.0
1.30,0.44,0.0
1.31,0.47,0.0
1.31,0.49,0.0
1.32,0.52,0.0
1.33,0.54,0.0
1.33,0.57,0.0
1.34,0.60,0.0
1.34,0.63,0.0
1.35,0.65,0.0
1.35,0.68,0.0
1.36,0.71,0.0
1.36,0.73,0.0
1.36,0.77,0.0
1.36,0.80,0.0
1.37,0.82,0.0
1.37,0.85,0.0
1.37,0.88,0.0
1.37,0.90,0.0
1.36,0.92,0.0
1.36,0.95,0.0
1.36,0.97,0.0
1.35,0.99,0.0
1.35,1.01,0.0
1.34,1.03,0.0
1.34,1.05,0.0
1.33,1.07,0.0
1.32,1.09,0.0
1.31,1.11,0.0
1.30,1.12,0.0
1.29,1.14,0.0
1.28,1.15,0.0
1.26,1.16,0.0
1.26,1.17,0.0
1.25,1.17,0.0
1.24,1.18,0.0
1.24,1.18,0.0
1.25,1.18,0.0
1.26,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.25,1.18,0.0
1.24,1.18,0.0
1.22,1.19,0.0
1.21,1.20,0.0
1.19,1.20,0.0
1.18,1.20,0.0
1.16,1.21,0.0
1.14,1.21,0.0
1.12,1.22,0.0
1.10,1.22,0.0
1.08,1.22,0.0
1.06,1.23,0.0
1.04,1.23,0.0
1.02,1.24,0.0
0.99,1.24,0.0
0.97,1.24,0.0
0.93,1.25,0.0
0.91,1.25,0.0
0.88,1.25,0.0
0.86,1.26,0.0
0.83,1.26,0.0
0.80,1.27,0.0
0.77,1.27,0.0
0.74,1.28,0.0
0.72,1.28,0.0
0.69,1.28,0.0
0.66,1.29,0.0
0.63,1.29,0.0
0.60,1.29,0.0
0.58,1.30,0.0
0.55,1.30,0.0
0.52,1.30,0.0
0.49,1.31,0.0
0.46,1.31,0.0
0.43,1.31,0.0
0.41,1.31,0.0
0.38,1.32,0.0
0.35,1.32,0.0
0.33,1.32,0.0
0.30,1.32,0.0
0.28,1.32,0.0
0.25,1.31,0.0
0.23,1.31,0.0
0.20,1.31,0.0
0.18,1.31,0.0
0.15,1.30,0.0
0.13,1.30,0.0
0.11,1.29,0.0
0.09,1.28,0.0
0.07,1.28,0.0
0.07,1.28,0.0
0.08,1.29,0.0
0.08,1.30,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.07,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.08,1.29,0.0
0.07,1.27,0.0
0.06,1.25,0.0
0.06,1.24,0.0
0.05,1.22,0.0
0.04,1.21,0.0
0.04,1.19,0.0
0.03,1.17,0.0
0.03,1.15,0.0
0.02,1.13,0.0
0.02,1.11,0.0
0.01,1.09,0.0
0.01,1.07,0.0
0.00,1.05,0.0
-0.00,1.03,0.0
-0.01,1.01,0.0
-0.02,0.98,0.0
-0.02,0.95,0.0
-0.03,0.93,0.0
-0.03,0.91,0.0
-0.04,0.89,0.0
-0.04,0.87,0.0
-0.05,0.84,0.0
-0.05,0.82,0.0
-0.06,0.80,0.0
-0.07,0.77,0.0
-0.07,0.75,0.0
-0.08,0.73,0.0
-0.08,0.71,0.0
-0.09,0.68,0.0
-0.09,0.66,0.0
-0.10,0.64,0.0
-0.10,0.61,0.0
-0.11,0.59,0.0
-0.11,0.57,0.0
-0.11,0.54,0.0
-0.12,0.52,0.0
-0.12,0.50,0.0
-0.12,0.47,0.0
-0.13,0.45,0.0
-0.13,0.43,0.0
-0.13,0.40,0.0
-0.13,0.38,0.0
-0.13,0.36,0.0
-0.13,0.34,0.0
-0.13,0.31,0.0
-0.13,0.29,0.0
-0.13,0.27,0.0
-0.13,0.25,0.0
-0.12,0.23,0.0
-0.12,0.21,0.0
-0.11,0.19,0.0
-0.11,0.17,0.0
-0.10,0.15,0.0
-0.09,0.14,0.0
-0.09,0.12,0.0
-0.08,0.11,0.0
-0.08,0.11,0.0
-0.07,0.10,0.0
-0.06,0.09,0.0
-0.07,0.09,0.0
-0.07,0.10,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.07,0.09,0.0
-0.06,0.09,0.0
-0.04,0.08,0.0
-0.03,0.08,0.0
-0.02,0.07,0.0
-0.00,0.07,0.0
0.00,0.07,0.0
0.02,0.07,0.0
0.04,0.06,0.0
0.05,0.06,0.0
0.08,0.06,0.0
0.09,0.06,0.0
0.11,0.05,0.0
0.13,0.05,0.0
0.15,0.05,0.0
0.17,0.05,0.0
0.19,0.05,0.0
0.21,0.04,0.0
0.24,0.04,0.0
0.26,0.04,0.0
0.28,0.04,0.0
0.31,0.03,0.0
0.33,0.03,0.0
0.35,0.03,0.0
0.38,0.03,0.0
0.40,0.03,0.0
0.43,0.02,0.0
0.45,0.02,0.0
0.47,0.02,0.0
0.50,0.02,0.0
0.52,0.01,0.0
0.55,0.01,0.0
0.57,0.01,0.0
0.60,0.01,0.0
0.62,0.01,0.0
0.65,0.01,0.0
0.67,0.00,0.0
0.70,0.00,0.0
0.72,0.00,0.0
0.75,-0.00,0.0
0.77,-0.00,0.0
0.80,-0.01,0.0
0.82,-0.01,0.0
0.85,-0.01,0.0
0.88,-0.01,0.0
0.90,-0.01,0.0
0.94,-0.01,0.0
0.97,-0.02,0.0
0.99,-0.02,0.0
1.02,-0.02,0.0
1.05,-0.02,0.0
1.07,-0.02,0.0
1.09,-0.02,0.0
1.10,-0.02,0.0
1.09,-0.03,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.09,-0.02,0.0
1.08,-0.03,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.09,-0.02,0.0
1.09,-0.02,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.09,-0.02,0.0
1.09,-0.02,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.09,-0.02,0.0
1.08,-0.02,0.0
1.08,-0.02,0.0
1.10,0.00,0.0
1.11,0.02,0.0
1.12,0.04,0.0
1.13,0.06,0.0
1.14,0.07,0.0
1.14,0.09,0.0
1.15,0.12,0.0
1.16,0.14,0.0
1.16,0.16,0.0
1.17,0.18,0.0
1.18,0.21,0.0
1.19,0.23,0.0
1.19,0.25,0.0
1.20,0.28,0.0
1.21,0.31,0.0
1.22,0.33,0.0
1.23,0.36,0.0
1.24,0.38,0.0
1.24,0.41,0.0
1.25,0.44,0.0
1.26,0.46,0.0
1.27,0.49,0.0
1.28,0.52,0.0
1.29,0.55,0.0
1.30,0.58,0.0
1.31,0.61,0.0
1.31,0.64,0.0
1.32,0.66,0.0
1.33,0.69,0.0
1.34,0.72,0.0
1.34,0.75,0.0
1.35,0.77,0.0
1.35,0.80,0.0
1.36,0.82,0.0
1.36,0.85,0.0
1.36,0.87,0.0
1.37,0.90,0.0
1.37,0.92,0.0
1.37,0.95,0.0
1.36,0.97,0.0
1.36,0.99,0.0
1.36,1.02,0.0
1.36,1.04,0.0
1.35,1.06,0.0
1.35,1.07,0.0
1.34,1.09,0.0
1.33,1.11,0.0
1.33,1.13,0.0
1.32,1.14,0.0
1.31,1.15,0.0
1.29,1.16,0.0
1.28,1.17,0.0
1.27,1.18,0.0
1.26,1.18,0.0
1.27,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.27,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.28,1.18,0.0
1.27,1.18,0.0
1.27,1.18,0.0
1.27,1.18,0.0
1.24,1.20,0.0
1.23,1.20,0.0
1.22,1.20,0.0
1.20,1.21,0.0
1.18,1.22,0.0
1.16,1.22,0.0
1.14,1.23,0.0
1.12,1.24,0.0
1.09,1.24,0.0
1.07,1.25,0.0
1.05,1.25,0.0
1.03,1.26,0.0
1.00,1.27,0.0
0.98,1.27,0.0
0.96,1.28,0.0
0.93,1.28,0.0
0.90,1.29,0.0
0.88,1.29,0.0
0.85,1.30,0.0
0.83,1.31,0.0
0.80,1.31,0.0
0.77,1.32,0.0
0.74,1.32,0.0
0.72,1.33,0.0
0.69,1.33,0.0
0.66,1.34,0.0
0.64,1.35,0.0
0.61,1.35,0.0
0.58,1.36,0.0
0.56,1.36,0.0
0.53,1.36,0.0
0.50,1.37,0.0
0.48,1.37,0.0
0.45,1.38,0.0
0.42,1.38,0.0
0.40,1.38,0.0
0.37,1.39,0.0
0.35,1.39,0.0
0.32,1.39,0.0
0.30,1.39,0.0
0.27,1.39,0.0
0.25,1.39,0.0
0.22,1.39,0.0
0.19,1.39,0.0
0.17,1.38,0.0
0.14,1.38,0.0
0.13,1.38,0.0
0.11,1.37,0.0
0.11,1.37,0.0
0.11,1.38,0.0
0.13,1.38,0.0
0.12,1.38,0.0
0.11,1.38,0.0
0.11,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.12,1.38,0.0
0.11,1.36,0.0
0.10,1.34,0.0
0.09,1.33,0.0
0.08,1.31,0.0
0.07,1.30,0.0
0.07,1.28,0.0
0.06,1.26,0.0
0.06,1.24,0.0
0.05,1.22,0.0
0.04,1.20,0.0
0.04,1.18,0.0
0.03,1.16,0.0
0.02,1.14,0.0
0.01,1.11,0.0
0.00,1.09,0.0
-0.00,1.07,0.0
-0.01,1.05,0.0
-0.02,1.02,0.0
-0.03,1.00,0.0
-0.04,0.97,0.0
-0.04,0.96,0.0
-0.06,0.92,0.0
-0.06,0.90,0.0
-0.07,0.88,0.0
-0.08,0.86,0.0
-0.08,0.84,0.0
-0.09,0.81,0.0
-0.10,0.79,0.0
-0.10,0.77,0.0
-0.11,0.75,0.0
-0.12,0.72,0.0
-0.12,0.70,0.0
-0.13,0.68,0.0
-0.14,0.65,0.0
-0.14,0.63,0.0
-0.15,0.61,0.0
-0.15,0.59,0.0
-0.16,0.56,0.0
-0.16,0.54,0.0
-0.16,0.52,0.0
-0.17,0.49,0.0
-0.17,0.47,0.0
-0.17,0.45,0.0
-0.17,0.42,0.0
-0.17,0.40,0.0
-0.18,0.38,0.0
-0.17,0.36,0.0
-0.17,0.34,0.0
-0.17,0.32,0.0
-0.17,0.30,0.0
-0.16,0.28,0.0
-0.16,0.26,0.0
-0.15,0.24,0.0
-0.15,0.23,0.0
-0.14,0.21,0.0
-0.14,0.21,0.0
-0.13,0.20,0.0
-0.13,0.19,0.0
-0.12,0.19,0.0
-0.12,0.18,0.0
-0.12,0.19,0.0
-0.13,0.19,0.0
-0.13,0.19,0.0
-0.13,0.19,0.0
-0.12,0.19,0.0
-0.13,0.19,0.0
-0.13,0.19,0.0
-0.13,0.19,0.0
-0.13,0.19,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.12,0.18,0.0
-0.12,0.18,0.0
-0.12,0.18,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.12,0.19,0.0
-0.11,0.17,0.0
-0.09,0.17,0.0
-0.09,0.16,0.0
-0.07,0.15,0.0
-0.06,0.15,0.0
-0.05,0.15,0.0
-0.04,0.14,0.0
-0.02,0.14,0.0
-0.01,0.13,0.0
0.01,0.12,0.0
0.02,0.12,0.0
0.04,0.11,0.0
0.06,0.11,0.0
0.08,0.11,0.0
0.10,0.10,0.0
0.12,0.10,0.0
0.14,0.09,0.0
0.16,0.09,0.0
0.18,0.08,0.0
0.20,0.08,0.0
0.22,0.07,0.0
0.25,0.07,0.0
0.27,0.06,0.0
0.29,0.06,0.0
0.32,0.05,0.0
0.34,0.05,0.0
0.36,0.05,0.0
0.39,0.04,0.0
0.41,0.04,0.0
0.44,0.03,0.0
0.47,0.03,0.0
0.49,0.03,0.0
0.52,0.02,0.0
0.54,0.02,0.0
0.56,0.01,0.0
0.59,0.01,0.0
0.61,0.01,0.0
0.64,0.00,0.0
0.66,-0.00,0.0
0.69,-0.00,0.0
0.71,-0.01,0.0
0.74,-0.01,0.0
0.76,-0.01,0.0
0.78,-0.02,0.0
0.81,-0.02,0.0
0.83,-0.02,0.0
0.86,-0.03,0.0
0.88,-0.03,0.0
0.91,-0.03,0.0
0.93,-0.03,0.0
0.96,-0.04,0.0
0.98,-0.04,0.0
1.01,-0.04,0.0
1.02,-0.04,0.0
1.02,-0.04,0.0
1.01,-0.04,0.0
1.00,-0.04,0.0
1.01,-0.04,0.0
1.02,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.05,0.0
1.01,-0.05,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.01,-0.04,0.0
1.03,-0.03,0.0
1.04,-0.00,0.0
1.05,0.01,0.0
1.06,0.03,0.0
1.07,0.05,0.0
1.07,0.06,0.0
1.08,0.09,0.0
1.09,0.11,0.0
1.10,0.14,0.0
1.11,0.17,0.0
1.12,0.19,0.0
1.13,0.22,0.0
1.14,0.24,0.0
1.15,0.27,0.0
1.16,0.29,0.0
1.17,0.31,0.0
1.18,0.34,0.0
1.19,0.37,0.0
1.20,0.39,0.0
1.21,0.42,0.0
1.22,0.45,0.0
1.23,0.47,0.0
1.24,0.50,0.0
1.25,0.53,0.0
1.26,0.56,0.0
1.27,0.58,0.0
1.28,0.61,0.0
1.29,0.64,0.0
1.30,0.66,0.0
1.31,0.69,0.0
1.32,0.72,0.0
1.32,0.74,0.0
1.33,0.77,0.0
1.34,0.81,0.0
1.35,0.84,0.0
1.35,0.86,0.0
1.36,0.89,0.0
1.36,0.91,0.0
1.36,0.93,0.0
1.36,0.96,0.0
1.36,0.98,0.0
1.36,1.00,0.0
1.36,1.03,0.0
1.35,1.05,0.0
1.35,1.07,0.0
1.34,1.09,0.0
1.34,1.10,0.0
1.33,1.12,0.0
1.32,1.12,0.0
1.31,1.13,0.0
1.31,1.14,0.0
1.30,1.14,0.0
1.32,1.14,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.31,1.14,0.0
1.31,1.14,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.31,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.13,0.0
1.32,1.14,0.0
1.32,1.13,0.0
1.31,1.14,0.0
1.29,1.15,0.0
1.27,1.16,0.0
1.26,1.17,0.0
1.24,1.18,0.0
1.23,1.18,0.0
1.21,1.19,0.0
1.19,1.20,0.0
