acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,0.0,0.0
-0.00302,0.00502,-1.00203,0.00452,0.00844,0.00093
-0.00574,0.00517,-1.00099,0.00569,0.00848,-0.00021
-0.00768,0.0072,-1.00135,0.00478,0.00647,-3e-05
-0.00613,0.0054,-1.00338,0.00197,0.00987,0.0003
-0.00419,0.00563,-1.00235,0.00314,0.00711,0.00393
-0.00508,0.00451,-1.00129,0.00519,0.00812,0.00362
-0.00235,0.00708,-1.00168,0.00253,0.00811,-0.00065
-0.00529,0.00544,-1.00215,0.00684,0.0084,-0.00306
-0.0056,0.00662,-1.00067,0.00197,0.0105,-0.00044
-0.00396,0.00564,-1.00122,0.00531,0.00878,0.00331
0.26373,0.00438,-1.00483,0.02604,0.0056,0.00502
0.16061,-0.02744,-1.0037,-0.04075,-0.02074,0.01337
-0.33662,-0.01406,-1.00817,-0.01576,-0.01393,0.04081
0.13777,0.01147,-0.99527,-0.00897,0.04475,-0.04162
0.02533,0.01894,-1.01785,0.01685,-0.01743,-0.03061
-0.31029,-0.00151,-0.98897,-0.00634,0.04933,0.0608
0.26795,0.01177,-1.01915,0.01143,0.02145,-0.04069
-0.21397,0.00745,-1.01182,0.02992,-0.06372,-0.01425
-0.01917,0.02985,-1.00174,-0.00953,0.00167,-0.01521
0.00504,0.00418,-1.00168,0.00773,-0.00942,-0.01338
-0.05421,-0.00776,-1.00198,0.00735,0.00895,0.01577
-0.01866,-0.00706,-1.00116,0.00465,0.0129,0.01206
-0.02472,-0.00497,-1.00221,-0.00209,-0.0035,0.03596
0.17738,-0.00385,-0.98022,0.04128,0.06949,-0.00839
0.26309,0.01059,-1.03197,-0.00486,-0.01859,-0.00074
-0.20783,0.05223,-0.99385,0.02678,-0.0007,-0.07723
-0.11721,0.0117,-0.9988,0.00465,0.04103,0.03599
0.21861,0.02279,-1.00475,0.00556,-0.05445,-0.0095
-0.33142,0.00778,-0.97958,-0.0006,0.0325,-0.01807
0.19005,0.02777,-1.00279,-0.02301,0.05842,0.00242
-0.02478,0.00586,-1.02699,0.0509,-0.00029,0.02951
-0.13775,-0.04165,-1.00416,0.01965,-0.01667,0.12662
0.06251,-0.02296,-1.0044,0.01235,0.00221,-0.09055
-0.06827,0.01375,-1.00091,-0.00079,0.00032,0.0154
-0.01884,0.00357,-1.00417,0.00149,0.00672,0.02491
-0.01392,0.00402,-1.0043,0.0049,-0.00208,0.007
0.22945,0.0028,-0.98722,0.03141,0.05792,0.04025
0.21224,-0.02648,-0.99239,0.0373,0.01917,-0.00084
-0.25947,0.0378,-0.98781,-0.00261,0.01042,-0.08996
0.00893,0.01818,-1.0116,-0.02146,0.04998,4e-05
0.15178,0.0403,-0.96986,0.03244,-0.02407,-0.08732
-0.33672,-0.02058,-0.98041,0.00692,0.04048,0.13496
0.21437,-0.01107,-0.99261,0.01228,0.03294,-0.06028
-0.13543,0.00407,-1.00104,0.00806,-0.0418,0.00564
-0.06006,-0.02196,-1.00969,0.00284,0.01215,0.05595
0.09257,0.01761,-1.00122,0.00473,-0.00759,-0.01169
-0.09838,0.00577,-1.00339,0.0122,0.00099,-0.0165
-0.00046,0.02934,-1.00301,0.00446,0.00587,-0.01505
-0.05586,-0.18499,-0.96183,0.05806,0.04225,0.53424
0.03702,0.04071,-1.00954,0.05661,0.06147,2.26185
0.01975,-0.02395,-1.02206,-0.06037,-0.0576,2.40645
0.06228,-0.03456,-1.01357,-0.03826,-0.05492,2.4998
