data
"acc_x:0.0, acc_y:0.0, acc_z:0.0, gyro_x:0.0, gyro_y:0.0, gyro_z:0.0"
"acc_x:-0.00302, acc_y:0.00502, acc_z:-1.00203, gyro_x:0.00452, gyro_y:0.00844, gyro_z:0.00093"
"acc_x:-0.00574, acc_y:0.00517, acc_z:-1.00099, gyro_x:0.00569, gyro_y:0.00848, gyro_z:-0.00021"
"acc_x:-0.00768, acc_y:0.0072, acc_z:-1.00135, gyro_x:0.00478, gyro_y:0.00647, gyro_z:-3e-05"
"acc_x:-0.00613, acc_y:0.0054, acc_z:-1.00338, gyro_x:0.00197, gyro_y:0.00987, gyro_z:0.0003"
"acc_x:-0.00419, acc_y:0.00563, acc_z:-1.00235, gyro_x:0.00314, gyro_y:0.00711, gyro_z:0.00393"
"acc_x:-0.00508, acc_y:0.00451, acc_z:-1.00129, gyro_x:0.00519, gyro_y:0.00812, gyro_z:0.00362"
"acc_x:-0.00235, acc_y:0.00708, acc_z:-1.00168, gyro_x:0.00253, gyro_y:0.00811, gyro_z:-0.00065"
"acc_x:-0.00529, acc_y:0.00544, acc_z:-1.00215, gyro_x:0.00684, gyro_y:0.0084, gyro_z:-0.00306"
"acc_x:-0.0056, acc_y:0.00662, acc_z:-1.00067, gyro_x:0.00197, gyro_y:0.0105, gyro_z:-0.00044"
"acc_x:-0.00396, acc_y:0.00564, acc_z:-1.00122, gyro_x:0.00531, gyro_y:0.00878, gyro_z:0.00331"
"acc_x:0.26373, acc_y:0.00438, acc_z:-1.00483, gyro_x:0.02604, gyro_y:0.0056, gyro_z:0.00502"
"acc_x:0.16061, acc_y:-0.02744, acc_z:-1.0037, gyro_x:-0.04075, gyro_y:-0.02074, gyro_z:0.01337"
"acc_x:-0.33662, acc_y:-0.01406, acc_z:-1.00817, gyro_x:-0.01576, gyro_y:-0.01393, gyro_z:0.04081"
"acc_x:0.13777, acc_y:0.01147, acc_z:-0.99527, gyro_x:-0.00897, gyro_y:0.04475, gyro_z:-0.04162"
"acc_x:0.02533, acc_y:0.01894, acc_z:-1.01785, gyro_x:0.01685, gyro_y:-0.01743, gyro_z:-0.03061"
"acc_x:-0.31029, acc_y:-0.00151, acc_z:-0.98897, gyro_x:-0.00634, gyro_y:0.04933, gyro_z:0.0608"
"acc_x:0.26795, acc_y:0.01177, acc_z:-1.01915, gyro_x:0.01143, gyro_y:0.02145, gyro_z:-0.04069"
"acc_x:-0.21397, acc_y:0.00745, acc_z:-1.01182, gyro_x:0.02992, gyro_y:-0.06372, gyro_z:-0.01425"
"acc_x:-0.01917, acc_y:0.02985, acc_z:-1.00174, gyro_x:-0.00953, gyro_y:0.00167, gyro_z:-0.01521"
