x,y,z
0.0,0.0,0.0
-0.4669,-0.5317,0.0
0.0,-0.0,0.0
-0.0,0.0,0.0
-0.0,-0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0001,0.0
-0.0,0.0001,0.0
-0.0,0.0,0.0
0.0001,-0.0,0.0
0.015,-0.0021,0.0
0.0566,-0.0053,0.0
0.1062,-0.0098,0.0
0.1704,-0.0153,0.0
0.2108,-0.0191,0.0
0.2408,-0.0232,0.0
0.2853,-0.0271,0.0
0.3047,-0.0288,0.0
0.3306,-0.0319,0.0
0.3562,-0.0341,0.0
0.364,-0.0322,0.0
0.3815,-0.0351,0.0
0.3898,-0.0357,0.0
0.394,-0.0368,0.0
0.4083,-0.0387,0.0
0.4103,-0.0387,0.0
0.482,-0.0399,0.0
0.5133,-0.0399,0.0
0.6058,-0.0368,0.0
0.621,-0.0377,0.0
0.6778,-0.0391,0.0
0.698,-0.0377,0.0
0.7269,-0.0373,0.0
0.7579,-0.0379,0.0
0.7684,-0.0362,0.0
0.7774,-0.0364,0.0
0.7981,-0.0362,0.0
0.8039,-0.0369,0.0
0.8094,-0.0378,0.0
0.8171,-0.0376,0.0
0.8245,-0.0379,0.0
0.8693,-0.038,0.0
0.9285,-0.037,0.0
0.9901,-0.0351,0.0
1.0241,-0.036,0.0
1.0607,-0.0357,0.0
1.099,-0.0338,0.0
1.1155,-0.034,0.0
1.1464,-0.0329,0.0
1.161,-0.0318,0.0
1.1762,-0.0298,0.0
1.1961,-0.0312,0.0
1.199,-0.0316,0.0
1.2067,-0.0323,0.0
1.2145,-0.0328,0.0
1.211,-0.0382,0.0
1.2099,-0.0397,0.0
1.2096,-0.0406,0.0
1.2118,-0.0393,0.0
1.2159,-0.0338,0.0
1.2138,-0.0308,0.0
1.2114,-0.0299,0.0
1.2144,-0.0303,0.0
1.2309,0.0005,0.0
1.2347,0.0497,0.0
1.24,0.1096,0.0
1.2434,0.1662,0.0
1.245,0.1984,0.0
1.2501,0.2437,0.0
1.253,0.2765,0.0
1.2547,0.301,0.0
1.2574,0.3349,0.0
1.2581,0.3466,0.0
1.2598,0.3672,0.0
1.2602,0.3857,0.0
1.261,0.3898,0.0
1.2618,0.4038,0.0
1.263,0.4079,0.0
1.2633,0.414,0.0
1.2643,0.4209,0.0
1.269,0.4505,0.0
1.2707,0.5036,0.0
1.2656,0.5664,0.0
1.2629,0.6156,0.0
1.2638,0.6466,0.0
1.261,0.6904,0.0
1.2598,0.7138,0.0
1.2594,0.7388,0.0
1.2574,0.7653,0.0
1.2576,0.7716,0.0
1.2575,0.7878,0.0
1.2561,0.8027,0.0
1.2569,0.8075,0.0
1.2553,0.8175,0.0
1.2548,0.8227,0.0
1.2565,0.8314,0.0
1.2596,0.8738,0.0
1.2569,0.9293,0.0
1.2512,0.99,0.0
1.2512,1.0233,0.0
1.2507,1.0606,0.0
1.2461,1.0985,0.0
1.2446,1.1306,0.0
1.2425,1.1588,0.0
1.242,1.1646,0.0
1.2432,1.18,0.0
1.2407,1.1969,0.0
1.2408,1.2012,0.0
1.2397,1.2105,0.0
1.242,1.2164,0.0
1.2466,1.2154,0.0
1.2476,1.2137,0.0
1.2478,1.2132,0.0
1.2456,1.2163,0.0
1.2414,1.2195,0.0
1.2376,1.2183,0.0
1.2354,1.2137,0.0
1.2383,1.2172,0.0
1.2146,1.2318,0.0
1.1623,1.2334,0.0
1.1027,1.2375,0.0
1.0421,1.2407,0.0
1.0111,1.2414,0.0
0.9682,1.2449,0.0
0.9319,1.246,0.0
0.914,1.2478,0.0
0.8787,1.2498,0.0
0.8638,1.2492,0.0
0.8492,1.2498,0.0
0.8238,1.2507,0.0
0.8183,1.2515,0.0
0.8045,1.2532,0.0
0.7995,1.2534,0.0
0.7946,1.2535,0.0
0.7886,1.2537,0.0
0.7741,1.2562,0.0
0.724,1.2602,0.0
0.6638,1.258,0.0
0.6026,1.2549,0.0
0.5696,1.2566,0.0
0.5307,1.2562,0.0
0.495,1.2551,0.0
0.4785,1.2552,0.0
0.4474,1.2566,0.0
0.4326,1.2564,0.0
0.4266,1.2564,0.0
0.4086,1.2562,0.0
0.3976,1.2564,0.0
0.3943,1.2563,0.0
0.3807,1.256,0.0
0.3635,1.2588,0.0
0.3375,1.2588,0.0
0.2441,1.2547,0.0
0.1921,1.2512,0.0
0.1636,1.2526,0.0
0.1193,1.2502,0.0
0.0933,1.2494,0.0
0.0735,1.25,0.0
0.0434,1.2475,0.0
0.0358,1.2479,0.0
0.023,1.2484,0.0
0.0051,1.2471,0.0
-0.0001,1.2477,0.0
-0.0095,1.2462,0.0
-0.0136,1.2467,0.0
-0.0112,1.2559,0.0
-0.0106,1.2568,0.0
-0.0119,1.2562,0.0
-0.0157,1.2535,0.0
-0.0203,1.2496,0.0
-0.0173,1.2476,0.0
-0.0135,1.247,0.0
-0.0173,1.2509,0.0
-0.0314,1.2181,0.0
-0.0341,1.167,0.0
-0.0407,1.1078,0.0
-0.0422,1.0477,0.0
-0.0451,1.0162,0.0
-0.0491,0.97,0.0
-0.0501,0.9356,0.0
-0.0521,0.9137,0.0
-0.0544,0.8781,0.0
-0.055,0.8659,0.0
-0.0566,0.8459,0.0
-0.0577,0.8255,0.0
-0.0582,0.8205,0.0
-0.0589,0.8101,0.0
-0.0591,0.8034,0.0
-0.0593,0.7996,0.0
-0.0591,0.7958,0.0
-0.0644,0.7607,0.0
-0.066,0.7086,0.0
-0.0609,0.6466,0.0
-0.0608,0.5997,0.0
-0.0601,0.5684,0.0
-0.0575,0.5239,0.0
-0.0573,0.5008,0.0
-0.0562,0.4752,0.0
-0.0551,0.4486,0.0
-0.0553,0.4396,0.0
-0.0558,0.4204,0.0
-0.0556,0.41,0.0
-0.0566,0.4034,0.0
-0.0566,0.3922,0.0
-0.0568,0.3888,0.0
-0.0577,0.3855,0.0
-0.0614,0.3581,0.0
-0.0632,0.3078,0.0
-0.0572,0.2457,0.0
-0.0568,0.1968,0.0
-0.0569,0.1446,0.0
-0.0544,0.1223,0.0
-0.0558,0.0895,0.0
-0.054,0.0586,0.0
-0.0517,0.0443,0.0
-0.0527,0.0321,0.0
-0.0528,0.0137,0.0
-0.0529,0.0104,0.0
-0.0538,0.0054,0.0
-0.0541,-0.0004,0.0
-0.0537,-0.0048,0.0
-0.0589,-0.0064,0.0
-0.0615,-0.0058,0.0
-0.0633,-0.0056,0.0
-0.063,-0.0087,0.0
-0.0599,-0.0116,0.0
-0.0564,-0.0124,0.0
-0.0529,-0.0084,0.0
-0.0522,-0.0052,0.0
-0.0528,-0.0074,0.0
-0.0232,-0.0185,0.0
0.0208,-0.0236,0.0
0.0747,-0.0301,0.0
0.1408,-0.0339,0.0
0.1702,-0.0355,0.0
0.2102,-0.0397,0.0
0.25,-0.0424,0.0
0.2692,-0.0434,0.0
0.303,-0.0459,0.0
0.3209,-0.0462,0.0
0.3325,-0.0469,0.0
0.3581,-0.0481,0.0
0.3622,-0.0484,0.0
0.3741,-0.0481,0.0
0.3833,-0.0485,0.0
0.3858,-0.0483,0.0
0.3901,-0.0485,0.0
0.3926,-0.0487,0.0
0.4242,-0.0491,0.0
0.4793,-0.05,0.0
0.5439,-0.0455,0.0
0.5945,-0.0467,0.0
0.6238,-0.0474,0.0
0.6685,-0.0449,0.0
0.6938,-0.0454,0.0
0.7317,-0.0447,0.0
0.7511,-0.0439,0.0
0.7594,-0.0442,0.0
0.7704,-0.0438,0.0
0.7861,-0.0436,0.0
0.7929,-0.0435,0.0
0.8019,-0.042,0.0
0.8054,-0.0424,0.0
0.8103,-0.043,0.0
0.8467,-0.041,0.0
0.901,-0.0415,0.0
0.9637,-0.04,0.0
1.0091,-0.0421,0.0
1.0395,-0.0434,0.0
1.0839,-0.0435,0.0
1.106,-0.0429,0.0
1.1288,-0.044,0.0
1.1566,-0.0436,0.0
1.1617,-0.044,0.0
1.1782,-0.0453,0.0
1.1955,-0.0458,0.0
1.2002,-0.0463,0.0
1.2089,-0.0463,0.0
1.2165,-0.0472,0.0
1.2172,-0.0535,0.0
1.2168,-0.0552,0.0
1.2154,-0.0569,0.0
1.2168,-0.0555,0.0
1.2205,-0.0515,0.0
1.2232,-0.048,0.0
1.2195,-0.0454,0.0
1.2169,-0.0472,0.0
1.2316,-0.0331,0.0
1.2416,0.0081,0.0
1.2474,0.0599,0.0
1.252,0.1273,0.0
1.2526,0.1745,0.0
1.2572,0.2103,0.0
1.2589,0.2601,0.0
1.2606,0.2845,0.0
1.2636,0.3161,0.0
1.2655,0.3449,0.0
1.2662,0.3568,0.0
1.2678,0.3828,0.0
1.2682,0.3928,0.0
1.2694,0.4132,0.0
1.269,0.4169,0.0
1.27,0.4234,0.0
1.2739,0.4415,0.0
1.2763,0.4923,0.0
1.2711,0.5544,0.0
1.2668,0.6111,0.0
1.2674,0.6428,0.0
1.2655,0.6859,0.0
1.2643,0.7155,0.0
1.2637,0.7362,0.0
1.2624,0.7668,0.0
1.2625,0.7785,0.0
1.2627,0.8006,0.0
1.2617,0.809,0.0
1.2623,0.8146,0.0
1.261,0.8245,0.0
1.2606,0.8272,0.0
1.2647,0.866,0.0
1.2647,0.9198,0.0
1.2611,0.9519,0.0
1.2596,1.0253,0.0
1.2588,1.0586,0.0
1.2582,1.1006,0.0
1.2587,1.1207,0.0
1.2568,1.1486,0.0
1.257,1.1723,0.0
1.2566,1.1778,0.0
1.256,1.1947,0.0
1.255,1.2103,0.0
1.2563,1.212,0.0
1.2545,1.2215,0.0
1.2567,1.2279,0.0
1.2616,1.227,0.0
1.2638,1.2244,0.0
1.2638,1.2243,0.0
1.2609,1.2278,0.0
1.2569,1.2319,0.0
1.2538,1.2311,0.0
1.2532,1.2274,0.0
1.2548,1.2278,0.0
1.2329,1.2392,0.0
1.1889,1.2442,0.0
1.1356,1.2478,0.0
1.0661,1.2481,0.0
1.03,1.25,0.0
0.9936,1.253,0.0
0.9481,1.2533,0.0
0.9277,1.2542,0.0
0.8932,1.2553,0.0
0.8693,1.2544,0.0
0.8584,1.2548,0.0
0.8307,1.2558,0.0
0.8233,1.2553,0.0
0.8117,1.2562,0.0
0.8022,1.2572,0.0
0.8009,1.2574,0.0
0.7952,1.2579,0.0
0.7824,1.2604,0.0
0.7335,1.2619,0.0
0.6384,1.2571,0.0
0.6088,1.2559,0.0
0.5604,1.2577,0.0
0.516,1.2566,0.0
0.4945,1.2549,0.0
0.4714,1.2551,0.0
0.4437,1.2538,0.0
0.4391,1.253,0.0
0.4245,1.2532,0.0
0.4065,1.2523,0.0
0.4038,1.2534,0.0
0.3944,1.2538,0.0
0.3885,1.2541,0.0
0.3735,1.2565,0.0
0.3247,1.2592,0.0
0.2655,1.2582,0.0
0.2071,1.2563,0.0
0.1765,1.257,0.0
0.1364,1.2575,0.0
0.1037,1.2554,0.0
0.0855,1.2557,0.0
0.0547,1.2559,0.0
0.0429,1.2555,0.0
0.0337,1.2547,0.0
0.0126,1.2548,0.0
0.0075,1.2552,0.0
-0.0002,1.2556,0.0
-0.0088,1.2561,0.0
-0.0076,1.2652,0.0
-0.0058,1.2684,0.0
-0.0047,1.269,0.0
-0.0064,1.2657,0.0
-0.0123,1.26,0.0
-0.012,1.2575,0.0
-0.0078,1.257,0.0
-0.0086,1.2604,0.0
-0.0256,1.2405,0.0
-0.0278,1.1918,0.0
-0.0333,1.1377,0.0
-0.0393,1.0715,0.0
-0.0405,1.0312,0.0
-0.0443,0.9924,0.0
-0.049,0.9479,0.0
-0.0513,0.926,0.0
-0.0542,0.8928,0.0
-0.0553,0.8692,0.0
-0.0562,0.858,0.0
-0.0585,0.8315,0.0
-0.0586,0.8249,0.0
-0.0593,0.815,0.0
-0.0607,0.8063,0.0
-0.061,0.803,0.0
-0.0615,0.7924,0.0
-0.0616,0.7905,0.0
-0.0631,0.7877,0.0
-0.0687,0.7528,0.0
-0.0683,0.7017,0.0
-0.0624,0.6408,0.0
-0.0617,0.5959,0.0
-0.0606,0.5659,0.0
-0.0578,0.5084,0.0
-0.0567,0.4909,0.0
-0.0561,0.475,0.0
-0.0541,0.4456,0.0
-0.0548,0.4338,0.0
-0.0536,0.4133,0.0
-0.0542,0.4073,0.0
-0.0546,0.3985,0.0
-0.0543,0.3938,0.0
-0.0546,0.3901,0.0
-0.0573,0.3806,0.0
-0.0616,0.338,0.0
-0.0618,0.2834,0.0
-0.058,0.2218,0.0
-0.0587,0.187,0.0
-0.0584,0.1494,0.0
-0.0565,0.1116,0.0
-0.0547,0.0943,0.0
-0.0538,0.064,0.0
-0.0535,0.0488,0.0
-0.0543,0.0378,0.0
-0.0537,0.0181,0.0
-0.0538,0.0146,0.0
-0.0526,0.0066,0.0
-0.0522,-0.0,0.0
-0.052,-0.0026,0.0
-0.0605,0.0009,0.0
-0.063,0.0008,0.0
