x,time,V
0.0,0.29,0.0
-3.6304,0.29,-12.518620689655172
-0.0,0.31,-0.0
-0.0,0.33,-0.0
-0.0,0.35,-0.0
0.0001,0.37,0.0002702702702702703
0.0008,0.39,0.0020512820512820513
0.0025,0.41,0.006097560975609756
0.0058,0.43,0.013488372093023254
0.0111,0.45,0.024666666666666667
0.0182,0.47,0.03872340425531915
0.0264,0.49,0.053877551020408164
0.0352,0.51,0.06901960784313725
0.0443,0.53,0.08358490566037735
0.053,0.55,0.09636363636363636
0.0614,0.57,0.10771929824561405
0.0692,0.59,0.11728813559322034
0.076,0.61,0.12459016393442623
0.0816,0.63,0.12952380952380954
0.0866,0.65,0.1332307692307692
0.091,0.67,0.13582089552238805
0.0951,0.69,0.13782608695652177
0.0995,0.71,0.14014084507042254
0.1048,0.73,0.14356164383561645
0.1108,0.75,0.14773333333333333
0.1177,0.77,0.15285714285714286
0.1256,0.79,0.15898734177215187
0.134,0.81,0.1654320987654321
0.1421,0.83,0.17120481927710846
0.1499,0.85,0.1763529411764706
0.157,0.87,0.18045977011494252
0.1632,0.89,0.18337078651685396
0.1687,0.91,0.18538461538461537
0.1737,0.94,0.1847872340425532
0.1788,0.96,0.18625
0.1839,0.97,0.1895876288659794
0.1895,0.99,0.19141414141414143
0.1961,1.01,0.19415841584158416
0.2033,1.03,0.19737864077669903
0.2111,1.05,0.20104761904761906
0.2194,1.07,0.2050467289719626
0.2277,1.09,0.20889908256880735
0.2358,1.11,0.21243243243243243
0.2432,1.13,0.21522123893805312
0.25,1.15,0.2173913043478261
0.2562,1.17,0.21897435897435896
0.2619,1.21,0.21644628099173557
0.2673,1.21,0.2209090909090909
0.273,1.23,0.22195121951219515
0.2791,1.25,0.22328
0.2858,1.27,0.22503937007874014
0.2932,1.29,0.22728682170542636
0.301,1.31,0.22977099236641219
0.3093,1.33,0.2325563909774436
0.3178,1.35,0.2354074074074074
0.3259,1.39,0.23446043165467628
0.3337,1.39,0.24007194244604319
0.341,1.41,0.24184397163120572
0.3477,1.43,0.24314685314685316
0.354,1.45,0.24413793103448275
0.3602,1.49,0.24174496644295304
0.3662,1.49,0.24577181208053694
0.3726,1.51,0.24675496688741722
0.3796,1.53,0.24810457516339868
0.3954,1.55,0.25509677419354837
0.4039,1.59,0.25402515723270436
0.4039,1.59,0.25402515723270436
0.4124,1.61,0.25614906832298134
0.421,1.63,0.25828220858895706
0.4293,1.65,0.2601818181818182
0.4446,1.69,0.2630769230769231
0.4516,1.71,0.264093567251462
0.4584,1.73,0.26497109826589593
0.4653,1.75,0.2658857142857143
0.4723,1.77,0.2668361581920904
0.4795,1.79,0.267877094972067
0.4874,1.81,0.2692817679558011
0.4957,1.83,0.27087431693989067
0.5042,1.85,0.2725405405405405
0.5131,1.87,0.2743850267379679
0.5218,1.89,0.2760846560846561
0.5303,1.91,0.27764397905759164
0.5385,1.93,0.2790155440414508
0.5464,1.95,0.2802051282051282
0.5538,1.97,0.2811167512690355
0.561,1.99,0.2819095477386935
0.5681,2.01,0.2826368159203981
0.5752,2.03,0.2833497536945813
0.5827,2.05,0.2842439024390244
0.5906,2.07,0.2853140096618358
0.5989,2.09,0.286555023923445
0.6076,2.11,0.2879620853080569
0.6165,2.13,0.2894366197183099
0.6254,2.15,0.29088372093023257
0.6342,2.17,0.292258064516129
0.6425,2.19,0.2933789954337899
0.6506,2.21,0.2943891402714932
0.6583,2.23,0.2952017937219731
0.6659,2.25,0.2959555555555556
0.6735,2.27,0.29669603524229077
0.681,2.29,0.29737991266375546
0.6887,2.31,0.29813852813852815
0.6969,2.33,0.2990987124463519
0.714,2.37,0.3012658227848101
0.7228,2.39,0.30242677824267783
0.7228,2.41,0.29991701244813274
0.7404,2.43,0.30469135802469133
0.749,2.45,0.3057142857142857
0.7573,2.47,0.30659919028340077
0.7653,2.49,0.3073493975903614
0.773,2.51,0.3079681274900399
0.7806,2.53,0.30853754940711464
0.7882,2.55,0.3090980392156863
0.7959,2.57,0.30968871595330744
0.8039,2.59,0.31038610038610037
0.8121,2.6,0.31234615384615383
0.8121,2.63,0.3087832699619772
0.8293,2.65,0.3129433962264151
0.8381,2.67,0.3138951310861423
0.8469,2.69,0.31483271375464683
0.8557,2.71,0.31575645756457565
0.8641,2.73,0.31652014652014654
0.8723,2.75,0.3172
0.8804,2.77,0.3178339350180505
0.8882,2.79,0.3183512544802867
0.896,2.81,0.3188612099644128
0.9041,2.83,0.31946996466431093
0.9122,2.85,0.3200701754385965
0.9205,2.87,0.3207317073170732
0.9292,2.89,0.32152249134948097
0.9378,2.91,0.3222680412371134
0.9468,2.93,0.3231399317406143
0.9558,2.95,0.32399999999999995
0.9647,2.97,0.3248148148148148
0.9735,2.99,0.3255852842809364
0.9819,3.01,0.3262126245847176
0.9901,3.03,0.32676567656765676
0.9982,3.05,0.3272786885245902
1.006,3.07,0.3276872964169381
1.0139,3.09,0.3281229773462783
1.022,3.11,0.32861736334405145
1.0304,3.13,0.3292012779552716
1.039,3.15,0.3298412698412698
1.0477,3.17,0.3305047318611988
1.0566,3.19,0.3312225705329154
1.0656,3.21,0.33196261682242995
1.0745,3.23,0.3326625386996904
1.0832,3.25,0.33329230769230767
1.0917,3.27,0.33385321100917426
1.1002,3.29,0.3344072948328268
1.1083,3.31,0.33483383685800605
1.1162,3.33,0.3351951951951952
1.1242,3.35,0.33558208955223884
1.1322,3.37,0.3359643916913947
1.1405,3.39,0.3364306784660767
1.149,3.41,0.33695014662756595
1.1578,3.43,0.3375510204081632
1.1667,3.45,0.33817391304347827
1.1757,3.47,0.33881844380403453
1.1846,3.49,0.3394269340974212
1.1932,3.51,0.33994301994301995
1.2018,3.53,0.3404532577903683
1.2102,3.55,0.3409014084507042
1.2184,3.57,0.34128851540616245
1.2265,3.59,0.3416434540389972
1.2347,3.61,0.34202216066481994
1.2429,3.63,0.342396694214876
1.251,3.65,0.3427397260273972
1.2594,3.67,0.3431607629427793
1.2681,3.69,0.3436585365853659
1.2771,3.71,0.3442318059299191
1.2861,3.73,0.34479892761394104
1.295,3.75,0.3453333333333333
1.304,3.77,0.3458885941644562
1.3127,3.79,0.34635883905013193
1.321,3.81,0.3467191601049869
1.3293,3.83,0.3470757180156658
1.3375,3.85,0.3474025974025974
1.3457,3.87,0.3477260981912144
1.3539,3.89,0.3480462724935733
1.3622,3.91,0.3483887468030691
1.3706,3.93,0.3487531806615776
1.3794,3.95,0.3492151898734177
1.3883,3.97,0.34969773299748114
1.3974,3.99,0.3502255639097744
1.4064,4.01,0.35072319201995017
1.4155,4.03,0.3512406947890819
1.4245,4.05,0.3517283950617284
1.4331,4.07,0.3521130221130221
1.4417,4.09,0.3524938875305624
1.45,4.11,0.3527980535279805
1.4583,4.13,0.3530992736077482
1.4667,4.15,0.3534216867469879
1.475,4.17,0.3537170263788969
1.4835,4.19,0.35405727923627683
1.501,4.23,0.3548463356973995
1.51,4.25,0.3552941176470588
1.5191,4.27,0.35576112412177985
1.5281,4.29,0.3562004662004662
1.537,4.31,0.3566125290023202
1.5458,4.33,0.35699769053117786
1.5544,4.35,0.35733333333333334
1.563,4.37,0.3576659038901602
1.5714,4.39,0.3579498861047836
1.5797,4.41,0.35820861678004534
1.5882,4.43,0.3585101580135441
1.5966,4.45,0.3587865168539326
1.6052,4.47,0.35910514541387023
1.614,4.49,0.35946547884187086
1.623,4.51,0.3598669623059867
1.6319,4.53,0.360242825607064
1.6319,4.55,0.35865934065934063
1.6501,4.57,0.3610722100656455
1.659,4.59,0.361437908496732
1.6679,4.61,0.36180043383947935
1.6766,4.63,0.36211663066954647
1.6852,4.65,0.3624086021505376
1.6937,4.67,0.36267665952890793
1.7022,4.69,0.3629424307036247
1.7108,4.71,0.3632271762208068
1.7194,4.72,0.3642796610169492
1.7283,4.75,0.36385263157894737
1.7371,4.77,0.36417190775681346
1.7461,4.79,0.3645302713987474
1.7551,4.81,0.36488565488565494
1.764,4.83,0.3652173913043478
1.773,4.84,0.36632231404958676
1.7819,4.87,0.36589322381930184
1.7907,4.89,0.36619631901840494
1.7993,4.91,0.3664562118126273
1.8079,4.93,0.3667139959432049
1.8165,4.95,0.36696969696969695
1.825,4.97,0.3672032193158954
1.8335,4.99,0.3674348697394789
1.842,5.01,0.3676646706586827
1.8507,5.03,0.3679324055666004
1.8595,5.05,0.3682178217821782
1.8684,5.07,0.3685207100591716
1.8774,5.09,0.3688408644400786
1.8863,5.11,0.3691389432485323
1.8953,5.13,0.3694541910331384
1.9042,5.15,0.36974757281553394
1.9127,5.17,0.3699613152804642
1.9213,5.21,0.3687715930902111
1.9381,5.23,0.37057361376673037
1.9463,5.25,0.3707238095238095
1.9547,5.27,0.370910815939279
1.9633,5.29,0.37113421550094516
1.9719,5.31,0.37135593220338986
1.9807,5.33,0.3716135084427767
1.9896,5.35,0.3718878504672897
1.9986,5.37,0.3721787709497206
2.0074,5.39,0.372430426716141
2.016,5.41,0.37264325323475045
2.0246,5.43,0.3728545119705341
2.033,5.45,0.3730275229357798
2.0415,5.47,0.37321755027422304
2.0498,5.49,0.37336976320582876
2.0581,5.51,0.3735208711433757
2.0665,5.53,0.3736889692585895
2.0749,5.55,0.37385585585585585
2.0834,5.57,0.3740394973070018
2.0921,5.59,0.374257602862254
2.1011,5.61,0.37452762923351157
2.11,5.63,0.3747779751332149
2.1188,5.65,0.37500884955752206
2.1276,5.67,0.37523809523809526
2.1363,5.69,0.3754481546572934
2.1447,5.71,0.37560420315236426
2.1529,5.73,0.37572425828970324
2.161,5.75,0.37582608695652175
2.1691,5.77,0.37592720970537263
2.1773,5.79,0.3760449050086355
2.1856,5.8,0.37682758620689655
2.1943,5.83,0.3763807890222985
2.203,5.85,0.3765811965811966
2.212,5.87,0.3768313458262351
2.2208,5.89,0.3770458404074703
2.2296,5.91,0.37725888324873097
2.2383,5.93,0.3774536256323778
2.247,5.95,0.3776470588235294
2.2555,5.97,0.3778056951423786
2.2638,5.99,0.37792988313856424
2.2723,6.01,0.3780865224625624
2.2808,6.03,0.3782421227197347
2.2892,6.05,0.3783801652892562
2.2977,6.07,0.37853377265238874
2.3062,6.09,0.37868637110016423
2.3148,6.11,0.37885433715220945
2.3234,6.13,0.379021207177814
2.3321,6.15,0.3792032520325203
2.3409,6.17,0.37940032414910857
2.3582,6.21,0.3797423510466989
2.3667,6.23,0.3798876404494381
2.3751,6.25,0.380016
2.3834,6.27,0.3801275917065391
2.3916,6.29,0.38022257551669314
2.3999,6.31,0.3803328050713154
2.4081,6.33,0.3804265402843602
2.4163,6.35,0.3805196850393701
2.4246,6.37,0.38062794348508633
2.4332,6.39,0.38078247261345854
2.442,6.4,0.3815625
2.4508,6.43,0.3811508553654744
2.4595,6.45,0.3813178294573643
2.468,6.47,0.3814528593508501
2.4765,6.49,0.3815870570107858
2.4848,6.51,0.381689708141321
2.4929,6.53,0.3817611026033691
2.501,6.55,0.38183206106870227
2.5089,6.57,0.38187214611872144
2.5169,6.59,0.38192716236722307
2.5251,6.61,0.38201210287443266
2.5332,6.63,0.3820814479638009
2.5415,6.65,0.38218045112781956
2.5499,6.67,0.3822938530734633
2.5583,6.69,0.382406576980568
2.5668,6.71,0.3825335320417288
2.5752,6.73,0.3826448736998514
2.5837,6.75,0.38277037037037037
2.6003,6.79,0.38296023564064796
2.6084,6.81,0.3830249632892805
2.6164,6.83,0.38307467057101025
2.6243,6.85,0.3831094890510949
2.6324,6.87,0.3831732168850073
2.6405,6.89,0.3832365747460087
2.6488,6.91,0.383328509406657
2.6571,6.93,0.3834199134199134
2.6657,6.95,0.3835539568345324
2.6743,6.97,0.383687230989957
2.6829,6.99,0.38381974248927037
2.6913,7.01,0.38392296718972896
2.6998,7.03,0.3840398293029872
2.7082,7.05,0.38414184397163126
2.7164,7.06,0.3847592067988669
2.7247,7.09,0.3843018335684062
2.7327,7.11,0.3843459915611814
2.7407,7.13,0.3843899018232819
